,dates,CA,TX,WI
0,2011-01-29,0.0,0.35,0.5
1,2011-01-30,1.75,1.55,0.05
2,2011-01-31,0.30000000000000004,1.0,5.95
3,2011-02-01,0.0,13.7,6.75
4,2011-02-02,0.0,0.05,8.35
5,2011-02-03,0.0,0.05,0.0
6,2011-02-04,0.0,1.2,0.6
7,2011-02-05,0.0,0.05,0.5
8,2011-02-06,0.0,1.2,2.3000000000000003
9,2011-02-07,0.0,1.05,0.35
10,2011-02-08,0.1,0.2,0.2
11,2011-02-09,0.0,6.6,0.0
12,2011-02-10,0.0,0.0,0.05
13,2011-02-11,0.0,0.0,0.65
14,2011-02-12,0.0,0.0,0.9
15,2011-02-13,0.0,0.0,0.7
16,2011-02-14,0.0,0.1,0.3
17,2011-02-15,0.1,0.5,0.65
18,2011-02-16,3.85,0.65,1.05
19,2011-02-17,0.05,0.55,4.25
20,2011-02-18,11.35,0.4,0.0
21,2011-02-19,28.2,1.3,0.0
22,2011-02-20,4.35,0.65,21.25
23,2011-02-21,0.0,0.5,14.05
24,2011-02-22,0.0,1.1500000000000001,1.85
25,2011-02-23,0.05,0.9,0.7
26,2011-02-24,0.55,2.05,0.1
27,2011-02-25,6.65,0.0,1.0
28,2011-02-26,38.8,0.7,4.550000000000001
29,2011-02-27,2.1,0.1,0.25
30,2011-02-28,0.0,0.35,2.15
31,2011-03-01,0.0,0.0,0.1
32,2011-03-02,0.0,0.0,0.0
33,2011-03-03,0.0,0.30000000000000004,0.6
34,2011-03-04,0.05,1.6,0.55
35,2011-03-05,0.0,0.35,1.05
36,2011-03-06,0.05,0.5,0.45
37,2011-03-07,2.05,0.65,1.6
38,2011-03-08,0.0,1.8,0.3
39,2011-03-09,0.0,0.0,6.6
40,2011-03-10,0.0,0.0,0.7
41,2011-03-11,0.0,0.0,0.45
42,2011-03-12,0.0,0.0,1.7
43,2011-03-13,0.0,2.75,0.15000000000000002
44,2011-03-14,0.0,6.6499999999999995,0.1
